Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm
9061,"Watanabe, Shinichi; Sato, Shinjiro",Priming effect of bamboo (Phyllostanchys edulis Carriere) biochar application in a soil amended with legume,SOIL SCIENCE AND PLANT NUTRITION,61,6,934,939,2015,,,,,10.1080/00380768.2015.1105112,N,4,1/13/2017,
9062,"Araujo Skorupa, Alba Lucia; de Barros, Nairam Felix; Lima Neves, Julio Cesar",FOREST LITTER DECOMPOSITION AS AFFECTED BY EUCALYPTUS STAND AGE AND TOPOGRAPHY IN SOUTH-EASTERN BRAZIL,REVISTA ARVORE,39,6,1055,1064,2015,,,N,Y,10.1590/0100-67622015000600008,N,2,1/13/2017,
9063,"da Silva, Danni Maisa; Antoniolli, Zaida Ines; Seminoti Jacques, Rodrigo Josemar; Silveira, Andressa de Oliveira; Amaro da Silva, Diego Armando; Rache, Magnus Mauricio; Gomes Passos, Vitor Hugo; da Silva, Bruno Rafael",MICROBIOLOGICAL INDICATORS OF PASTURE SOIL WITH SUCCESSIVE APLICATIONS OF PIG SLURRY,REVISTA BRASILEIRA DE CIENCIA DO SOLO,39,6,1585,1594,2015,,,,,10.1590/01000683rbcs20150138,N,4,1/13/2017,
9064,"Yavitt, Joseph B.","Land use history determines non-native earthworm impacts on atmospheric methane consumption in forest soils, central New York State",CANADIAN JOURNAL OF SOIL SCIENCE,95,4,321,330,2015,,,,,10.4141/CJSS-2014-073,N,4,1/13/2017,
9065,"Throckmorton, Heather M.; Heikoop, Jeffrey M.; Newman, Brent D.; Altmann, Garrett L.; Conrad, Mark S.; Muss, Jordan D.; Perkins, George B.; Smith, Lydia J.; Torn, Margaret S.; Wullschleger, Stan D.; Wilson, Cathy J.",Pathways and transformations of dissolved methane and dissolved inorganic carbon in Arctic tundra watersheds: Evidence from analysis of stable isotopes,GLOBAL BIOGEOCHEMICAL CYCLES,29,11,1893,1910,2015,,,,,10.1002/2014GB005044,N,4,1/13/2017,
9066,"Mezbahuddin, M.; Grant, R. F.; Hirano, T.","How hydrology determines seasonal and interannual variations in water table depth, surface energy exchange, and water stress in a tropical peatland: Modeling versus measurements",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,120,11,2132,2157,2015,,2nd International Conference on Arctic Research Planning,,,10.1002/2015JG003005,N,4,1/13/2017,
9067,"van Loon, Marloes P.; Dekker, Stefan C.; Anten, Niels P. R.; Rietkerk, Max; de Arellano, Jordi Vila-Guerau",Understanding the impact of plant competition on the coupling between vegetation and the atmosphere,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,120,11,2212,2228,2015,,2nd International Conference on Arctic Research Planning,,,10.1002/2015JG003108,N,3,1/13/2017,
9068,"Cai, Yihua; Guo, Laodong; Wang, Xuri; Aiken, George","Abundance, stable isotopic composition, and export fluxes of DOC, POC, and DIC from the Lower Mississippi River during 2006-2008",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,120,11,2273,2288,2015,,2nd International Conference on Arctic Research Planning,,,10.1002/2015JG003139,N,4,1/13/2017,
9069,"Huang, Ni; Gu, Lianhong; Black, T. Andrew; Wang, Li; Niu, Zheng",Remote sensing-based estimation of annual soil respiration at two contrasting forest sites,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,120,11,2306,2325,2015,,2nd International Conference on Arctic Research Planning,N,Y,10.1002/2015JG003060,N,2,1/13/2017,
9070,"Sun, Shou-Qin; Bhatti, Jagtar S.; Jassal, Rachhpal S.; Chang, Scott X.; Arevalo, Carmela; Black, T. Andrew; Sidders, Derek",Stand Age and Productivity Control Soil Carbon Dioxide Efflux and Organic Carbon Dynamics in Poplar Plantations,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,79,6,1638,1649,2015,,,Y,Y,10.2136/sssaj2015.06.0233,N,1,1/13/2017,
9071,"Harmon, Thomas C.; Dierick, Diego; Trahan, Nicole; Allen, Michael F.; Rundel, Philip W.; Oberbauer, Steven F.; Schwendenmann, Luitgard; Zelikova, Tamara J.",Low-cost soil CO2 efflux and point concentration sensing systems for terrestrial ecology applications,METHODS IN ECOLOGY AND EVOLUTION,6,11,1358,1362,2015,,,,,10.1111/2041-210X.12426,N,3,1/13/2017,
9072,"Becher, Marina; Olofsson, Johan; Klaminder, Jonatan",Cryogenic disturbance and its impact on carbon fluxes in a subarctic heathland,ENVIRONMENTAL RESEARCH LETTERS,10,11,,,2015,,,N,Y,10.1088/1748-9326/10/11/114006,N,2,1/13/2017,
9073,"Linkosalmi, M.; Pumpanen, J.; Biasi, C.; Heinonsalo, J.; Laiho, R.; Linden, A.; Palonen, V.; Laurila, T.; Lohila, A.",Studying the impact of living roots on the decomposition of soil organic matter in two different forestry-drained peatlands,PLANT AND SOIL,396,02-Jan,59,72,2015,,,,,10.1007/s11104-015-2584-4,N,3,1/13/2017,
9074,"Tercero, M. C.; Alvarez-Rogel, J.; Conesa, H. M.; Ferrer, M. A.; Calderon, A. A.; Lopez-Orenes, A.; Gonzalez-Alcaraz, M. N.",Response of biogeochemical processes of the water-soil-plant system to experimental flooding-drying conditions in a eutrophic wetland: the role of Phragmites australis,PLANT AND SOIL,396,02-Jan,109,125,2015,,,,,10.1007/s11104-015-2589-z,N,4,1/13/2017,
9075,"Bloor, Juliette M. G.",Additive effects of dung amendment and plant species identity on soil processes and soil inorganic nitrogen in grass monocultures,PLANT AND SOIL,396,02-Jan,189,200,2015,,,Y,Y,10.1007/s11104-015-2591-5,N,2,1/13/2017,
9076,"Luo, Caiyun; Bao, Xiaoying; Wang, Shiping; Zhu, Xiaoxue; Cui, Shujuan; Zhang, Zhenhua; Xu, Burenbayin; Niu, Haishan; Zhao, Liang; Zhao, Xinquan",Impacts of seasonal grazing on net ecosystem carbon exchange in alpine meadow on the Tibetan Plateau,PLANT AND SOIL,396,02-Jan,381,395,2015,,,N,Y,10.1007/s11104-015-2602-6,N,2,1/13/2017,
9077,"De Souza, Amanda P.; Cocuron, Jean-Christophe; Garcia, Ana Carolina; Alonso, Ana Paula; Buckeridge, Marcos S.",Changes in Whole-Plant Metabolism during the Grain-Filling Stage in Sorghum Grown under Elevated CO2 and Drought,PLANT PHYSIOLOGY,169,3,1755,1765,2015,,,,,10.1104/pp.15.01054,N,3,1/13/2017,
9078,"Zermeno-Gonzalez, Alejandro; Mendez-Lopez, Gildardo; Rodriguez-Garcia, Raul; Cadena-Zapata, Martin; Cardenas-Palomo, Jose O.; Catalan-Valencia, Ernesto A.","BIOFERTILIZATION OF A VINEYARD ANDD ITS RELATIONSHIP TO PHOTOSYNTHESIS, YIELD AND FRUIT QUALITY",AGROCIENCIA,49,8,875,887,2015,,,,,,N,3,1/13/2017,
9079,"West, J. M.; Jones, D. G.; Annunziatellis, A.; Barlow, T. S.; Beaubien, S. E.; Bond, A.; Breward, N.; Coombs, P.; de Angelis, D.; Gardner, A.; Gemeni, V.; Graziani, S.; Green, K. A.; Gregory, S.; Gwosdz, S.; Hannis, S.; Kirk, K.; Koukouzas, N.; Krueger, M.; Libertini, S.; Lister, T. R.; Lombardi, S.; Metcalfe, R.; Pearce, J. M.; Smith, K. L.; Steven, M. D.; Thatcher, K.; Ziogou, F.",Comparison of the impacts of elevated CO2 soil gas concentrations on selected European terrestrial environments,INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,42,,357,371,2015,,,,,10.1016/j.ijggc.2015.07.020,N,3,1/13/2017,
9080,"Galitskaya, P. Yu.; Saveliev, A. A.; Selivanovskaya, S. Yu.",Response of soil microbial community to the simultaneous influence of metals and an organic substance,CONTEMPORARY PROBLEMS OF ECOLOGY,8,6,780,788,2015,,,,,10.1134/S1995425515060062,N,4,1/13/2017,
9081,"Zhang, Tao; Wang, Genxu; Yang, Yan; Mao, Tianxu; Chen, Xiaopeng",Non-growing season soil CO2 flux and its contribution to annual soil CO2 emissions in two typical grasslands in the permafrost region of the Qinghai-Tibet Plateau,EUROPEAN JOURNAL OF SOIL BIOLOGY,71,,45,52,2015,,,Y,Y,10.1016/j.ejsobi.2015.10.004,N,1,1/13/2017,
9082,"Milewski, A. V.; Mills, A. J.",Why was the Highveld treeless? Looking laterally to the Pampas for global edaphic principles beyond biogeographical accidents,SOUTH AFRICAN JOURNAL OF BOTANY,101,,98,106,2015,,,,,10.1016/j.sajb.2015.05.019,N,3,1/13/2017,
9083,"Chen, Hao; Li, Dejun; Gurmesa, Geshere A.; Yu, Guirui; Li, Linghao; Zhang, Wei; Fang, Huajun; Mo, Jiangming",Effects of nitrogen deposition on carbon cycle in terrestrial ecosystems of China: A meta-analysis,ENVIRONMENTAL POLLUTION,206,,352,360,2015,,,,,10.1016/j.envpol.2015.07.033,N,3,1/13/2017,
9084,"Hu, Renyu; Kass, David M.; Ehlmann, Bethany L.; Yung, Yuk L.",Tracing the fate of carbon and the atmospheric evolution of Mars,NATURE COMMUNICATIONS,6,,,,2015,,,,,10.1038/ncomms10003,N,4,1/13/2017,
9085,"Whitman, Thea; Lehmann, Johannes",A dual-isotope approach to allow conclusive partitioning between three sources,NATURE COMMUNICATIONS,6,,,,2015,,,,,10.1038/ncomms9708,N,4,1/13/2017,
9086,"Trumbore, Susan; Czimczik, Claudia I.; Sierra, Carlos A.; Muhr, Jan; Xu, Xiaomei",Non-structural carbon dynamics and allocation relate to growth rate and leaf habit in California oaks,TREE PHYSIOLOGY,35,11,1206,1222,2015,,,,,10.1093/treephys/tpv097,N,3,1/13/2017,
9087,"Pang, Xueyong; Zhu, Biao; Lu, Xiaotao; Cheng, Weixin",Labile substrate availability controls temperature sensitivity of organic carbon decomposition at different soil depths,BIOGEOCHEMISTRY,126,02-Jan,85,98,2015,,,N,Y,10.1007/s10533-015-0141-0,N,2,1/13/2017,
9088,"Xu, Hua-qin; Zhang, Jia-en; Ouyang, Ying; Lin, Ling; Quan, Guo-ming; Zhao, Ben-liang; Yu, Jia-yu",Effects of simulated acid rain on microbial characteristics in a lateritic red soil,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,22,22,18260,18266,2015,,,,,10.1007/s11356-015-5066-6,N,4,1/13/2017,
9089,"Baldi, E.; Toselli, M.; Malaguti, L.; Lazzeri, L.",Evaluation of the biocidal effects of Brassica seed meal on Armillaria mellea,ANNALS OF APPLIED BIOLOGY,167,3,364,372,2015,,,,,10.1111/aab.12233,N,3,1/13/2017,
9090,"Jin, Jian; Tang, Caixian; Sale, Peter",The impact of elevated carbon dioxide on the phosphorus nutrition of plants: a review,ANNALS OF BOTANY,116,6,987,999,2015,,,,,10.1093/aob/mcv088,N,4,1/13/2017,
9091,"Warren, Ean; Bekins, Barbara A.",Relating subsurface temperature changes to microbial activity at a crude oil-contaminated site,JOURNAL OF CONTAMINANT HYDROLOGY,182,,183,193,2015,,,,,10.1016/j.jconhyd.2015.09.007,N,3,1/13/2017,
9092,"Watts, Dexter B.; Runion, G. Brett; Nannenga, Katy W. Smith; Torbert, H. Allen",Impacts of Enhanced-Efficiency Nitrogen Fertilizers on Greenhouse Gas Emissions in a Coastal Plain Soil under Cotton,JOURNAL OF ENVIRONMENTAL QUALITY,44,6,1699,1710,2015,,,Y,Y,10.2134/jeq2015.01.0036,N,2,1/13/2017,
9093,"Chen, Zhuoqi; Chen, Jing M.; Zheng, Xiaogu; Jiang, Fei; Qin, Jun; Zhang, Shupeng; Yuan, Wenping; Ju, Weiming; Mo, Gang",Optimizing photosynthetic and respiratory parameters based on the seasonal variation pattern in regional net ecosystem productivity obtained from atmospheric inversion,SCIENCE BULLETIN,60,22,1954,1961,2015,,,,,10.1007/s11434-015-0917-6,N,3,1/13/2017,
9094,Zhu JianXiao; Hu XueYang; Yao Hui; Liu GuoHua; Ji ChenJun; Fang JingYun,A significant carbon sink in temperate forests in Beijing: based on 20-year field measurements in three stands,SCIENCE CHINA-LIFE SCIENCES,58,11,1135,1141,2015,,,Y,Y,10.1007/s11427-015-4935-z,N,1,1/13/2017,
9095,"Sierra, Carlos A.; Mueller, Markus",A general mathematical framework for representing soil organic matter dynamics,ECOLOGICAL MONOGRAPHS,85,4,505,524,2015,,,,,10.1890/15-0361.1,N,3,1/13/2017,
9096,"Noronha, Alexandra L.; Johnson, Kathleen R.; Southon, John R.; Hu, Chaoyong; Ruan, Jiaoyang; McCabe-Glynn, Staryl",Radiocarbon evidence for decomposition of aged organic matter in the vadose zone as the main source of speleothem carbon,QUATERNARY SCIENCE REVIEWS,127,,37,47,2015,,,,,10.1016/j.quascirev.2015.05.021,N,3,1/13/2017,
9097,"Rocha Lessa, Ana Carolina; dos Santos, Marco Aurelio; Lewis Maddock, John Edwin; Bezerra, Clauber dos Santos",Emissions of greenhouse gases in terrestrial areas pre-existing to hydroelectric plant reservoirs in the Amazon: The case of Belo Monte hydroelectric plant,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,51,,1728,1736,2015,,,N,Y,10.1016/j.rser.2015.07.067,N,2,1/13/2017,
9098,"Parmar, Kim; Keith, Aidan M.; Rowe, Rebecca L.; Sohi, Saran P.; Moeckel, Claudia; Pereira, M. Gloria; McNamara, Niall P.",Bioenergy driven land use change impacts on soil greenhouse gas regulation under Short Rotation Forestry,BIOMASS & BIOENERGY,82,,40,48,2015,,,N,Y,10.1016/j.biombioe.2015.05.028,N,2,1/13/2017,
9099,"Schindlbacher, Andreas; Schnecker, Joerg; Takriti, Mounir; Borken, Werner; Wanek, Wolfgang",Microbial physiology and soil CO2 efflux after 9 years of soil warming in a temperate forest - no indications for thermal adaptations,GLOBAL CHANGE BIOLOGY,21,11,4265,4277,2015,,,N,Y,10.1111/gcb.12996,N,1,1/13/2017,
9100,"Mathieu, Jordane A.; Hatte, Christine; Balesdent, Jerome; Parent, Eric",Deep soil carbon dynamics are driven more by soil type than by climate: a worldwide meta-analysis of radiocarbon profiles,GLOBAL CHANGE BIOLOGY,21,11,4278,4292,2015,,,,,10.1111/gcb.13012,N,4,1/13/2017,
9101,"Leal, Fabio Tiraboschi; Coelho Franca, Ana Beatriz; Siqueira, Diego Silva; Teixeira, Daniel De Bortoli; Marques Junior, Jose; La Scala Junior, Newton",Characterization of potential CO2 emissions in agricultural areas using magnetic susceptibility,SCIENTIA AGRICOLA,72,6,535,539,2015,,,,,10.1590/0103-9016-2014-0420,N,4,1/13/2017,
9102,"Wu, Kunyu; Shen, Licheng; Zhang, Tingshan; Xiao, Qiong; Wang, Aoyu","Links between host rock, water, and speleothems of Xueyu Cave in Southwestern China: lithology, hydrochemistry, and carbonate geochemistry",ARABIAN JOURNAL OF GEOSCIENCES,8,11,8999,9013,2015,,,,,10.1007/s12517-015-1876-6,N,4,1/13/2017,
9103,"Qin, Yu; Chen, Jianjun; Yi, Shuhua",Plateau pikas burrowing activity accelerates ecosystem carbon emission from alpine grassland on the Qinghai-Tibetan Plateau,ECOLOGICAL ENGINEERING,84,,287,291,2015,,,,,10.1016/j.ecoleng.2015.09.012,N,3,1/13/2017,
9104,"Kumar, Sanjoy; Maiti, Subodh Kumar; Chaudhuri, Subrato","Soil development in 2-21 years old coalmine reclaimed spoil with trees: A case study from Sonepur-Bazari opencast project, Raniganj Coalfield, India",ECOLOGICAL ENGINEERING,84,,311,324,2015,,,,,10.1016/j.ecoleng.2015.09.043,N,3,1/13/2017,
9105,"Dar, Javid Ahmad; Ganie, Khursheed Ahmad; Sundarapandian, Somaiah","Soil CO2 efflux among four coniferous forest types of Kashmir Himalaya, India",ENVIRONMENTAL MONITORING AND ASSESSMENT,187,11,,,2015,,,Y,Y,10.1007/s10661-015-4927-2,N,1,1/13/2017,
9106,"Ranjbar, Faranak; Jalali, Mohsen",The effect of chemical and organic amendments on sodium exchange equilibria in a calcareous sodic soil,ENVIRONMENTAL MONITORING AND ASSESSMENT,187,11,,,2015,,,,,10.1007/s10661-015-4894-7,N,3,1/13/2017,
9107,"Karelin, D. V.; Lyuri, D. I.; Goryachkin, S. V.; Lunin, V. N.; Kudikov, A. V.",Changes in the carbon dioxide emission from soils in the course of postagrogenic succession in the Chernozems forest-steppe,EURASIAN SOIL SCIENCE,48,11,1229,1241,2015,,,N,Y,10.1134/S1064229315110095,N,2,1/13/2017,
9108,"Nickschick, Tobias; Kaempf, Horst; Flechsig, Christina; Mrlina, Jan; Heinicke, Jens","CO2 degassing in the Hartouov mofette area, western Eger Rift, imaged by CO2 mapping and geoelectrical and gravity surveys",INTERNATIONAL JOURNAL OF EARTH SCIENCES,104,8,2107,2129,2015,,,,,10.1007/s00531-014-1140-4,N,3,1/13/2017,
9109,"Bolat, Ilyas; Sensoy, Huseyin; Ozer, Davut",Short-term changes in microbial biomass and activity in soils under black locust trees (Robinia pseudoacacia L.) in the northwest of Turkey,JOURNAL OF SOILS AND SEDIMENTS,15,11,2189,2198,2015,,,,,10.1007/s11368-015-1144-0,N,3,1/13/2017,
9110,"Lu, Qin; Yuan, Yong; Tao, Ya; Tang, Jia",Environmental pH and ionic strength influence the electron-transfer capacity of dissolved organic matter,JOURNAL OF SOILS AND SEDIMENTS,15,11,2257,2264,2015,,,,,10.1007/s11368-015-1154-y,N,4,1/13/2017,
9111,"Roman, D. T.; Novick, K. A.; Brzostek, E. R.; Dragoni, D.; Rahman, F.; Phillips, R. P.",The role of isohydric and anisohydric species in determining ecosystem-scale response to severe drought,OECOLOGIA,179,3,641,654,2015,,,,,10.1007/s00442-015-3380-9,N,4,1/13/2017,
9112,"Uvarov, Alexei V.; Karaban, Kamil",Do alterations in mesofauna community affect earthworms?,OECOLOGIA,179,3,877,887,2015,,,,,10.1007/s00442-015-3383-6,N,4,1/13/2017,
9113,"Brolsma, Karst M.; Vonk, J. Arie; Hoffland, Ellis; Mulder, Christian; de Goede, Ron G. M.",Effects of GM potato Modena on soil microbial activity and litter decomposition fall within the range of effects found for two conventional cultivars,BIOLOGY AND FERTILITY OF SOILS,51,8,913,922,2015,,,,,10.1007/s00374-015-1031-2,N,3,1/13/2017,
9114,"Moore, Jessica A. M.; Jiang, Jiang; Patterson, Courtney M.; Mayes, Melanie A.; Wang, Gangsheng; Classen, Aimee T.","Interactions among roots, mycorrhizas and free-living microbial communities differentially impact soil carbon processes",JOURNAL OF ECOLOGY,103,6,1442,1453,2015,,,,,10.1111/1365-2745.12484,N,4,1/13/2017,
9115,"Avera, Bethany N.; Strahm, Brian D.; Burger, James A.; Zipper, Carl E.",Development of ecosystem structure and function on reforested surface-mined lands in the Central Appalachian Coal Basin of the United States,NEW FORESTS,46,06-May,683,702,2015,,,N,Y,10.1007/s11056-015-9502-8,N,2,1/13/2017,
9116,"Cotel, Solenn; Schaefer, Gerhard; Traverse, Sylvie; Marzougui-Jaafar, Salsabil; Gay, Guillaume; Razakarisoa, Olivier",Evaluation of VOC fluxes at the soil-air interface using different flux chambers and a quasi-analytical approach,WATER AIR AND SOIL POLLUTION,226,11,,,2015,,,,,10.1007/s11270-015-2596-y,N,3,1/13/2017,
9117,"Bae, Kikang; Fahey, Timothy J.; Yanai, Ruth D.; Fisk, Melany",Soil Nitrogen Availability Affects Belowground Carbon Allocation and Soil Respiration in Northern Hardwood Forests of New Hampshire,ECOSYSTEMS,18,7,1179,1191,2015,,,Y,Y,10.1007/s10021-015-9892-7,N,2,1/13/2017,
9118,"Ying, S. C.; Damashek, J.; Fendorf, S.; Francis, C. A.",Indigenous arsenic(V)-reducing microbial communities in redox-fluctuating near-surface sediments of the Mekong Delta,GEOBIOLOGY,13,6,581,587,2015,,,,,10.1111/gbi.12152,N,4,1/13/2017,
9119,"Trybula, Elizabeth M.; Cibin, Raj; Burks, Jennifer L.; Chaubey, Indrajeet; Brouder, Sylvie M.; Volenec, Jeffrey J.",Perennial rhizomatous grasses as bioenergy feedstock in SWAT: parameter development and model improvement,GLOBAL CHANGE BIOLOGY BIOENERGY,7,6,1185,1202,2015,,,,,10.1111/gcbb.12210,N,4,1/13/2017,
9120,"Jancic, M.; Lalic, B.; Mihailovic, D. T.; Jacimovic, G.",Impact of climate change and carbon dioxide fertilization effect on irrigation water demand and yield of soybean in Serbia,JOURNAL OF AGRICULTURAL SCIENCE,153,8,1365,1379,2015,,,,,10.1017/S0021859615000179,N,4,1/13/2017,
9121,"Read, Jennifer; McCoy, Stephane; Jaffre, Tanguy",Shade-tolerance of seedlings of rain-forest trees: monodominants vs. subordinates and episodic vs. continuous regenerators,JOURNAL OF TROPICAL ECOLOGY,31,,541,552,2015,,,,,10.1017/S0266467415000486,N,4,1/13/2017,
9122,"Koncz, Peter; Balogh, Janos; Papp, Marianna; Hidy, Dora; Pinter, Krisztina; Foti, Szilvia; Klumpp, Katja; Nagy, Zoltan",Higher soil respiration under mowing than under grazing explained by biomass differences,NUTRIENT CYCLING IN AGROECOSYSTEMS,103,2,201,215,2015,,,Y,Y,10.1007/s10705-015-9732-3,N,2,1/13/2017,
9123,"Yang, Kai; Zhu, Jiaojun",The effects of N and P additions on soil microbial properties in paired stands of temperate secondary forests and adjacent larch plantations in Northeast China,SOIL BIOLOGY & BIOCHEMISTRY,90,,80,86,2015,,,,,10.1016/j.soilbio.2015.08.002,N,3,1/13/2017,
9124,"Weng, Zhe (Han); Van Zwieten, Lukas; Singh, Bhupinder Pal; Kimber, Stephen; Morris, Stephen; Cowie, Annette; Macdonald, Lynne M.",Plant-biochar interactions drive the negative priming of soil organic carbon in an annual ryegrass field system,SOIL BIOLOGY & BIOCHEMISTRY,90,,111,121,2015,,,,,10.1016/j.soilbio.2015.08.005,N,3,1/13/2017,
9125,"Chen, Dima; Wang, Yang; Lan, Zhichun; Li, Jianjun; Xing, Wen; Hu, Shuijin; Bai, Yongfei",Biotic community shifts explain the contrasting responses of microbial and root respiration to experimental soil acidification,SOIL BIOLOGY & BIOCHEMISTRY,90,,139,147,2015,,,Y,Y,10.1016/j.soilbio.2015.08.009,N,2,1/13/2017,
9126,"Huang, Jinhua; Zhang, Weixin; Liu, Mengyun; Briones, Maria J. I.; Eisenhauer, Nico; Shao, Yuanhu; Cai, Xi'an; Fu, Shenglei; Xia, Hanping",Different impacts of native and exotic earthworms on rhizodeposit carbon sequestration in a subtropical soil,SOIL BIOLOGY & BIOCHEMISTRY,90,,152,160,2015,,,,,10.1016/j.soilbio.2015.08.011,N,3,1/13/2017,
9127,"Sierra, Carlos A.; Malghani, Saadatullah; Mueller, Markus",Model structure and parameter identification of soil organic matter models,SOIL BIOLOGY & BIOCHEMISTRY,90,,197,203,2015,,,,,10.1016/j.soilbio.2015.08.012,N,4,1/13/2017,
9128,"Carrera, N.; van Bodegom, P. M.; van Hal, J. R.; Logtestijn, R.; Barreal, M. E.; Briones, M. J. I.",Disentangling thermal acclimation and substrate limitation effects on C and N cycling in peatlands,SOIL BIOLOGY & BIOCHEMISTRY,90,,224,231,2015,,,,,10.1016/j.soilbio.2015.08.013,N,3,1/13/2017,
9129,"Wigand, Cathleen; Davey, Earl; Johnson, Roxanne; Sundberg, Karen; Morris, James; Kenny, Paul; Smith, Erik; Holt, Matt","Nutrient Effects on Belowground Organic Matter in a Minerogenic Salt Marsh, North Inlet, SC",ESTUARIES AND COASTS,38,6,1838,1853,2015,,,N,Y,10.1007/s12237-014-9937-8,N,2,1/13/2017,
9130,"Srivastava, Pratap; Raghubanshi, Akhilesh Singh; Singh, Rishikesh; Tripathi, Sachchida Nand",Soil carbon efflux and sequestration as a function of relative availability of inorganic N pools in dry tropical agroecosystem,APPLIED SOIL ECOLOGY,96,,1,6,2015,,,N,Y,10.1016/j.apsoil.2015.04.019,N,2,1/13/2017,
9131,"Qiu, Qingyan; Wu, Lanfang; Ouyang, Zhu; Li, Binbin; Xu, Yanyan; Wu, Shanshan; Gregorich, E. G.",Effects of plant-derived dissolved organic matter (DOM) on soil CO2 and N2O emissions and soil carbon and nitrogen sequestrations,APPLIED SOIL ECOLOGY,96,,122,130,2015,,,N,Y,10.1016/j.apsoil.2015.07.016,N,1,1/13/2017,
9132,"Lu, Weiwei; Zhang, Hailin",Response of biochar induced carbon mineralization priming effects to additional nitrogen in a sandy loam soil,APPLIED SOIL ECOLOGY,96,,165,171,2015,,,,,10.1016/j.apsoil.2015.08.002,N,3,1/13/2017,
9133,"Wang, Yihui; Gong, Ji-Rui; Liu, Min; Luo, Qinpu; Xu, Sha; Pan, Yan; Zhai, Zhanwei","Effects of land use and precipitation on above- and below-ground litter decomposition in a semi-arid temperate steppe in Inner Mongolia, China",APPLIED SOIL ECOLOGY,96,,183,191,2015,,,,,10.1016/j.apsoil.2015.07.010,N,3,1/13/2017,
9134,"Wang, Jun; Liu, Quan-Quan; Chen, Rong-Rong; Liu, Wen-Zhao; Sainju, Upendra M.","Soil carbon dioxide emissions in response to precipitation frequency in the Loess Plateau, China",APPLIED SOIL ECOLOGY,96,,288,295,2015,,,Y,Y,10.1016/j.apsoil.2015.08.026,N,2,1/13/2017,
9135,"Martin-Lammerding, Diana; Navas, Mariela; del Mar Albarran, Maria; Luis Tenorio, Jose; Walter, Ingrid","LONG term management systems under semiarid conditions: Influence on labile organic matter, beta-glucosidase activity and microbial efficiency",APPLIED SOIL ECOLOGY,96,,296,305,2015,,,,,10.1016/j.apsoil.2015.08.021,N,3,1/13/2017,
9136,"Mi, Jia; Li, Jianjun; Chen, Dima; Xie, Yichun; Bai, Yongfei",Predominant control of moisture on soil organic carbon mineralization across a broad range of arid and semiarid ecosystems on the Mongolia plateau,LANDSCAPE ECOLOGY,30,9,1683,1699,2015,,,N,Y,10.1007/s10980-014-0040-0,N,2,1/13/2017,
9137,"Qi, Yongfeng; Shang, Xiaodong; Chen, Guiying; Gao, Zhiqiu; Bi, Xueyan",Using the Cross-Correlation Function to Evaluate the Quality of Eddy-Covariance Data,BOUNDARY-LAYER METEOROLOGY,157,2,173,189,2015,,,,,10.1007/s10546-015-0060-6,N,4,1/13/2017,
9138,"Baker, Paul W.; Hoegstrand, Christer; Lead, Jamie; Pickup, Roger W.; Zhang, Hao",Immobilization of Shewanella oneidensis MR-1 in diffusive gradients in thin films for determining metal bioavailability,CHEMOSPHERE,138,,309,315,2015,,,,,10.1016/j.chemosphere.2015.06.018,N,4,1/13/2017,
9139,"Xue, K.; van Nostrand, J. D.; Vangronsveld, J.; Witters, N.; Janssen, J. O.; Kumpiene, J.; Siebielec, G.; Galazka, R.; Giagnoni, L.; Arenella, M.; Zhou, J. -Z.; Renella, G.",Management with willow short rotation coppice increase the functional gene diversity and functional activity of a heavy metal polluted soil,CHEMOSPHERE,138,,469,477,2015,,,,,10.1016/j.chemosphere.2015.06.062,N,4,1/13/2017,
9140,"Templeton, Ben S.; Seiler, John R.; Peterson, John A.; Tyree, Michael C.",Environmental and stand management influences on soil CO2 efflux across the range of loblolly pine,FOREST ECOLOGY AND MANAGEMENT,355,,15,23,2015,,,N,Y,10.1016/j.foreco.2015.01.031,N,1,1/13/2017,
9141,"Tian, Shiying; Youssef, Mohamed A.; Sun, Ge; Chescheir, George M.; Noormets, Asko; Amatya, Devendra M.; Skaggs, R. Wayne; King, John S.; McNulty, Steve; Gavazzi, Michael; Miao, Guofang; Domec, Jean-Christophe",Testing DRAINMOD-FOREST for predicting evapotranspiration in a mid-rotation pine plantation,FOREST ECOLOGY AND MANAGEMENT,355,,37,47,2015,,,,,10.1016/j.foreco.2015.03.028,N,3,1/13/2017,
